"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45129911","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45129911","404","Thiamin","LCGA","1.0","mg"
"45129911","405","Riboflavin","LCGA","0.77","mg"
"45129911","406","Niacin","LCGA","9.1","mg"
"45129911","415","Vitamin B-6","LCGA","0.9","mg"
"45129911","417","Folate, total","LCGA","109.0","mcg"
"45129911","601","Cholesterol","LCGA","0.0","mg"
"45129911","605","Fatty acids, total trans","LCGA","0.2","g"
"45129911","606","Fatty acids, total saturated","LCGA","2.6","g"
"45129911","645","Fatty acids, total monounsaturated","LCGA","1.9","g"
"45129911","646","Fatty acids, total polyunsaturated","LCGA","4.6","g"
"45129186","203","Protein","LCGE","11.0","g"
"45129186","204","Total lipid (fat)","LCGE","8.0","g"
"45129186","205","Carbohydrate, by difference","LCGE","1.0","g"
"45129186","269","Sugars, total","LCGE","1.0","g"
"45129186","291","Fiber, total dietary","LCGE","0.0","g"
"45129186","307","Sodium, Na","LCGE","410.0","mg"
"45129186","401","Vitamin C, total ascorbic acid","LCGE","0.0","mg"
"45129186","601","Cholesterol","LCGE","45.0","mg"
"45129186","605","Fatty acids, total trans","LCGE","0.0","g"
